,order_details_id,order_id,order_date,order_time,item_id,item_name,category,price,tax,total_revenu,dayofweek,hour
0,1,1,2023-01-01,2026-04-10 11:38:36,109.0,Korean Beef Bowl,Asian,17.95,1.44,19.39,6,11
1,2,2,2023-01-01,2026-04-10 11:57:40,108.0,Tofu Pad Thai,Asian,14.5,1.16,15.66,6,11
2,3,2,2023-01-01,2026-04-10 11:57:40,124.0,Spaghetti,Italian,14.5,1.16,15.66,6,11
3,4,2,2023-01-01,2026-04-10 11:57:40,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,11
4,5,2,2023-01-01,2026-04-10 11:57:40,129.0,Mushroom Ravioli,Italian,15.5,1.24,16.74,6,11
5,6,2,2023-01-01,2026-04-10 11:57:40,106.0,French Fries,American,7.0,0.56,7.5600000000000005,6,11
6,7,3,2023-01-01,2026-04-10 12:12:28,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,12
7,8,3,2023-01-01,2026-04-10 12:12:28,119.0,Chicken Torta,Mexican,11.95,0.96,12.91,6,12
8,9,4,2023-01-01,2026-04-10 12:16:31,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,12
9,10,5,2023-01-01,2026-04-10 12:21:30,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,12
10,11,6,2023-01-01,2026-04-10 12:29:36,101.0,Hamburger,American,12.95,1.04,13.989999999999998,6,12
11,12,6,2023-01-01,2026-04-10 12:29:36,114.0,Potstickers,Asian,9.0,0.72,9.72,6,12
12,13,7,2023-01-01,2026-04-10 12:50:37,123.0,Chips & Guacamole,Mexican,9.0,0.72,9.72,6,12
13,14,8,2023-01-01,2026-04-10 12:51:37,123.0,Chips & Guacamole,Mexican,9.0,0.72,9.72,6,12
14,15,9,2023-01-01,2026-04-10 12:52:01,108.0,Tofu Pad Thai,Asian,14.5,1.16,15.66,6,12
15,16,9,2023-01-01,2026-04-10 12:52:01,126.0,Fettuccine Alfredo,Italian,14.5,1.16,15.66,6,12
16,17,9,2023-01-01,2026-04-10 12:52:01,110.0,Pork Ramen,Asian,17.95,1.44,19.39,6,12
17,18,9,2023-01-01,2026-04-10 12:52:01,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,12
18,19,9,2023-01-01,2026-04-10 12:52:01,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,12
19,20,9,2023-01-01,2026-04-10 12:52:01,129.0,Mushroom Ravioli,Italian,15.5,1.24,16.74,6,12
20,21,9,2023-01-01,2026-04-10 12:52:01,122.0,Chips & Salsa,Mexican,7.0,0.56,7.5600000000000005,6,12
21,22,9,2023-01-01,2026-04-10 12:52:01,130.0,Shrimp Scampi,Italian,19.95,1.6,21.55,6,12
22,23,9,2023-01-01,2026-04-10 12:52:01,132.0,Eggplant Parmesan,Italian,16.95,1.36,18.31,6,12
23,24,10,2023-01-01,2026-04-10 13:00:15,129.0,Mushroom Ravioli,Italian,15.5,1.24,16.74,6,13
24,25,10,2023-01-01,2026-04-10 13:00:15,105.0,Mac & Cheese,American,7.0,0.56,7.5600000000000005,6,13
25,26,11,2023-01-01,2026-04-10 13:02:59,101.0,Hamburger,American,12.95,1.04,13.989999999999998,6,13
26,27,11,2023-01-01,2026-04-10 13:02:59,102.0,Cheeseburger,American,13.95,1.12,15.07,6,13
27,28,11,2023-01-01,2026-04-10 13:02:59,102.0,Cheeseburger,American,13.95,1.12,15.07,6,13
28,29,11,2023-01-01,2026-04-10 13:02:59,113.0,Edamame,Asian,5.0,0.4,5.4,6,13
29,30,12,2023-01-01,2026-04-10 13:04:41,102.0,Cheeseburger,American,13.95,1.12,15.07,6,13
30,31,12,2023-01-01,2026-04-10 13:04:41,102.0,Cheeseburger,American,13.95,1.12,15.07,6,13
31,32,12,2023-01-01,2026-04-10 13:04:41,104.0,Veggie Burger,American,10.5,0.84,11.34,6,13
32,33,12,2023-01-01,2026-04-10 13:04:41,117.0,Chicken Burrito,Mexican,12.95,1.04,13.989999999999998,6,13
33,34,13,2023-01-01,2026-04-10 13:11:55,129.0,Mushroom Ravioli,Italian,15.5,1.24,16.74,6,13
34,35,14,2023-01-01,2026-04-10 13:14:19,114.0,Potstickers,Asian,9.0,0.72,9.72,6,13
35,36,15,2023-01-01,2026-04-10 13:33:00,107.0,Orange Chicken,Asian,16.5,1.32,17.82,6,13
36,37,15,2023-01-01,2026-04-10 13:33:00,124.0,Spaghetti,Italian,14.5,1.16,15.66,6,13
37,38,15,2023-01-01,2026-04-10 13:33:00,121.0,Cheese Quesadillas,Mexican,10.5,0.84,11.34,6,13
38,39,15,2023-01-01,2026-04-10 13:33:00,114.0,Potstickers,Asian,9.0,0.72,9.72,6,13
39,40,16,2023-01-01,2026-04-10 13:34:07,125.0,Spaghetti & Meatballs,Italian,17.95,1.44,19.39,6,13
40,41,16,2023-01-01,2026-04-10 13:34:07,111.0,California Roll,Asian,11.95,0.96,12.91,6,13
